model,environment,seed,activity,direct_precision,direct_recall,direct_f1,slot_precision,slot_recall,slot_f1,support,direct_mean_probability,slot_mean_probability
strict_lejepa,classroom,40,lie_down,81.57894736842105,67.3913043478261,73.80952380952381,79.71014492753623,59.78260869565217,68.32298136645963,92,0.26121461391448975,0.2611567974090576
strict_lejepa,classroom,40,pick_up,59.77011494252874,78.78787878787878,67.97385620915033,60.91954022988506,80.3030303030303,69.28104575163398,66,0.3005979359149933,0.33144935965538025
strict_lejepa,classroom,40,sit_down,63.2183908045977,71.42857142857143,67.07317073170732,61.44578313253012,66.23376623376623,63.74999999999999,77,0.29760730266571045,0.31787365674972534
strict_lejepa,classroom,40,stand_up,72.0,60.67415730337079,65.85365853658537,69.04761904761905,65.1685393258427,67.05202312138728,89,0.2767145037651062,0.31940892338752747
strict_lejepa,classroom,41,walk,92.63157894736842,92.63157894736842,92.63157894736842,96.47058823529412,86.31578947368422,91.11111111111111,95,0.2844706177711487,0.25955840945243835
strict_lejepa,classroom,41,rotation,71.69811320754717,82.6086956521739,76.76767676767676,66.97247706422019,79.34782608695652,72.636815920398,92,0.3091696500778198,0.31292903423309326
strict_lejepa,classroom,41,jump,64.15094339622641,86.07594936708861,73.51351351351352,60.57692307692307,79.74683544303798,68.85245901639344,79,0.3075254261493683,0.3154478669166565
strict_lejepa,classroom,41,wave,70.58823529411765,83.72093023255815,76.59574468085107,64.94845360824742,73.25581395348837,68.85245901639344,86,0.31780675053596497,0.3153226673603058
strict_lejepa,classroom,41,lie_down,71.56862745098039,79.34782608695652,75.25773195876289,70.2127659574468,71.73913043478261,70.96774193548387,92,0.3170512616634369,0.302446186542511
strict_lejepa,classroom,41,pick_up,60.91954022988506,80.3030303030303,69.28104575163398,59.523809523809526,75.75757575757575,66.66666666666666,66,0.2797333598136902,0.28975892066955566
strict_lejepa,classroom,41,sit_down,61.36363636363637,70.12987012987013,65.45454545454545,57.608695652173914,68.83116883116884,62.721893491124256,77,0.2820177674293518,0.2940509021282196
strict_lejepa,classroom,41,stand_up,66.26506024096386,61.79775280898876,63.95348837209303,70.27027027027027,58.42696629213483,63.80368098159509,89,0.2613946199417114,0.2748110890388489
strict_lejepa,classroom,42,walk,87.5,95.78947368421052,91.4572864321608,88.54166666666666,89.47368421052632,89.00523560209425,95,0.32512712478637695,0.3227655589580536
